Feature,Skewness,Kurtosis,IQR/Range,Shapiro-Wilk p-value,Normal?
mean_radius,0.940,0.828,36.93%,0.000000,No
mean_texture,0.649,0.741,40.04%,0.000000,No
mean_perimeter,0.988,0.953,38.41%,0.000000,No
mean_area,1.641,3.610,35.05%,0.000000,No
mean_smoothness,0.455,0.838,43.28%,0.000086,No
mean_compactness,1.187,1.625,38.97%,0.000000,No
mean_concavity,1.397,1.971,42.49%,0.000000,No
mean_concave_points,1.168,1.047,44.70%,0.000000,No
mean_symmetry,0.724,1.266,37.88%,0.000000,No
mean_fractal_dimension,1.301,2.969,37.99%,0.000000,No
se_radius,3.080,17.521,30.83%,0.000000,No
se_texture,1.642,5.292,38.29%,0.000000,No
se_perimeter,3.435,21.204,29.63%,0.000000,No
se_area,5.433,48.767,26.18%,0.000000,No
se_smoothness,2.308,10.368,33.25%,0.000000,No
se_compactness,1.897,5.051,36.77%,0.000000,No
se_concavity,5.097,48.423,35.62%,0.000000,No
se_concave_points,1.441,5.071,37.12%,0.000000,No
se_symmetry,2.189,7.816,35.82%,0.000000,No
se_fractal_dimension,3.914,26.040,35.88%,0.000000,No
worst_radius,1.100,0.925,38.26%,0.000000,No
worst_texture,0.497,0.212,43.80%,0.000003,No
worst_perimeter,1.125,1.050,39.78%,0.000000,No
worst_area,1.854,4.347,33.88%,0.000000,No
worst_smoothness,0.414,0.503,38.63%,0.000210,No
worst_compactness,1.470,3.002,38.93%,0.000000,No
worst_concavity,1.147,1.591,40.42%,0.000000,No
worst_concave_points,0.491,-0.541,45.37%,0.000000,No
worst_symmetry,1.430,4.395,34.89%,0.000000,No
worst_fractal_dimension,1.658,5.188,36.20%,0.000000,No
